ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
1722,Paestum, Barakat Gallery PF 18. , ,Diam. 15-5,PLATE235e ,"nos. 347 and 349 are comparable to the one on the neck of Python's signed amphora (no. 240), and the standing draped woman on the reverse of no. 347 is very close to her counterpart on its reverse, where the treatment of the drapery around the waist is also very similar to that of the three women on nos. 347, 349 and 351 referred to above. No. 355 was previously associated with Asteas, but the draped woman on its reverse, the siren on the neck, and the bird-trap held by Eros all suggest it is better placed here, near to no. 352 in view of the close resemblance between the two draped figures to right on their reverses. The female heads on the necks mostly wear beaded sphendonai, although on no. 348 there is a radiate stephane in added white; their features tend to be rather heavy, with a flat brow-nose line and a strong chin. Part of the shoulder is occasionally visible, sometimes with a row of white beads down the sleeves as on nos. 347 and 355, and always with a black and/or white bead necklace. "
1723,Scottsdale,138 Ce. ,Ht. 6-, ,PLATE 236* ,
1724,Once Basel Market,22592,Ht. 35, ,"PLATE 236c,d ",
1725,Paestum, Sotheby,Ht. 30, ,PLATE 236 e ,"no. 118, pi. 55. (a) Eros reaching up to grasp fillet held up by draped woman with open box and fillet in 1. hand, [b) nude youth, with thyrsus and 'skewer of fruit', draped woman with wreath and fillet. Neck: (a) siren with 'skewer of fruit' and tambourine, [b) female head to 1. "
1726,Naples,21170, , , ,
1727,Paestum,11460 (L. 547). , , , ,"(a) Nude youth, with chlamys over his shoulders, wearing pilos and holding spear in r. hand, phiale in 1., draped woman with red chiton, holding fillet and spray, [b) A31, with fillet, + A2r, with stick. Neck: (a) and (6) female head to 1. "
1728,Paestum,31754, , , ,"Kunst der Antike I (1978), no. 26, ill. on pp. 42-3. (a) Poseidon, with wreath and trident in 1. hand, fillet in r. and Amymone, holding hydria in r., [b) A3v, with two eggs and fillet in 1., stick in r., +A2r, with egg and stick. Neck: (a) siren, with 'skewer of fruit' and fillet in 1. hand, cista and wreath in r., [b) female head to 1. "
1729,Paestum, MuM. , , , ,"PP, no. 160, pi. 26; PPSupp, no. 203; CVA, pi. 244,3. (a) Poseidon and Amphitrite, [b) half-draped youth (Bv), bending forward, as on "
1730,Paestum,5391, , , ,"Neck: female heads (a) to 1., [b) to r. "
1731,Madrid,21442, , , ,"(a) Hermes with caduceus and spray, draped woman wearing crown and veil, standing beside laver, and holding fillet in r. hand, dish, wreath and fillet in 1., [b) A3r, with egg, + A2r, with 'skewer of fruit' in r. hand, stick in 1. Neck: (a) female head, [b) palmette. "
1732,Paestum,21451, , , ,"[a) Youth, with drapery over lower part of body, bending forward over r. foot raised on spotted rock, facing standing draped woman with egg in r. hand and mirror in 1., (o) A3c, + A2r, with egg; both with stick in 1. hand. Neck: (a) and [b) female head to 1. "
1733,Paestum, from C. Andriuolo (1954), , , ,"(a) Nude youth with fillet standing in front of seated draped woman, holding phiale, [b) half-draped youth bending forward (Bv), + A2r. Neck: (a) female head to r., [b) palmette. PYTHON  169 "
1734,Naples,26614, , , ,"(a) Seated nude youth (head lost), with drapery over 1. arm, standing nude youth with stick, drapery over 1. arm, [b) half-draped youth with drapery across the front of his body (Bv), nude youth with 'skewer of fruit' and stick. Neck: female heads (a) with kekryphalos, [b) with black-dotted sphendone. "
1735,Naples,11538 (L. 550). , , , ,"PP, no. 101, pi. 13 A; PPSupp, no. 133. (a) Eros with bird-trap standing in front of seated woman (Aphrodite ?; cf. no. 251) holding filleted wreath, female bust above to r., (b) nude youth, with wreath and staff, draped woman with spray (as type A2r). Neck: (a) siren, as on nos. 347 and 349, [b) female head to 1. "
1736,Naples,188372. , , , ,"quence, it has not been possible to check it: 356 Once Berlin, Dr. Lederer. Ht. 44. PP. no. 99; PPSupp, no. 86. (a) Woman and youth beside column, [b) youth and woman. (b) With two figures on the obverse but only one on the reverse In style the vases in this division are very similar to those in (a); both nos. 357 and 358 show very typical draped women (cf. with those on the reverses of nos. 347 and 355); the bearded silen and the dotted rock on the reverse of no. 357 are also well "
1737,Madrid,5386, , , ,
1738,Once Konigsberg,22937,Ht. 39, , ,"(a) Nude youth with fillet in 1. hand, standing draped woman with egg in r. hand, [b) bearded silen bending forward over raised 1. foot Neck: (a) female head, with black area above it, [b) palmette; cf. no. 353. "
1739,Paestum,11536 (L. 551). ,Ht. 21, , ,
1740,Pontecagnano,37.254. ,Ht. 20, , ,"(a) Nude youth with fillet in r. hand and drapery over 1. arm, standing draped woman with wreath, [b) nude youth, bending forward over raised 1. foot, with egg in r. and fillet in 1. Neck: (a) and [b) female head to 1. The picture on the obverse is framed by reserved bands, on the reverse by 'framing palmettes'. "
1741,Paestum,25078,Ht. 23, , ,
1742,Naples,36403,Ht. 20, , ,"(a) Seated half-draped Dionysos, with phiale and 'skewer of fruit', and satyr, with thyrsus, bending forward in front of him, [b) seated half-draped youth, holding thyrsus and cista. Neck: (a) and [b) female head to 1. "
1743,Paestum,5396,Ht. 27, , ,
1744,Naples,188371. ,Ht. 24, , ,"(a) Youth and draped woman, [b) nude youth with thyrsus, between two stelai. 361  Barcelona. Ht. 36. (a) Nude youth and draped woman, [b) nude youth bending forward over foot raised on tendril, holding wreath. Neck: (a) and [b) female head. "
1745,Paestum,16688,Ht. 17, , ,"(a) Seated Dionysos, with Eros resting his hand on his knee, [b) draped woman to 1., tambourine top r. This vase is in very bad condition, with little of the original design remaining. (c) With a single figure on each side "
1746,Once Freiburg Market,21250,Ht. , , ,the woman on no. 365 is unusual on a minor vase (cf. no. 370 below). On nos. 363^1 
1747,Paestum,(Arizona),Ht. 15, , ,
1748,Paestum, MuM. ,Ht. 16, , ,"(a) Seated youth, wearing pilos, holding spear in 1. and egg in r. hand, stele to r., (») capering satyr with thyrsus, cista and bead-wreath. Neck: (a) and [b) palmette-fans. "
1749,Naples,26613,Ht. 14, , ,"(a) Draped woman, holding thyrsus and mirror, [b) nude youth with 'skewer of fruit' and thyrsus, bending forward over r. foot raised on tendril. Part of an altar is visible to the left on (a) and to the right on [b). "
1750,Paestum,841 (inv. 82681). ,Ht. 23, , ,"PP, no. 259; PPSupp, no. 352. (a) Woman wearing black chiton, with piece of drapery in front of her body, and holding 'skewer of fruit' in r. hand and thyrsus in 1., [b) nude youth with 'skewer of fruit' and fillet in r., and thyrsus in 1. (d) Of the following neck-amphora only the neck survives: "
1751,Paestum,21264, , , ,"PP, no. 265; PPSupp, no. 132. (a) Female head, [b) palmette. (iii) Other Shapes This section contains a few vases of other shapes which, on stylistic grounds, look to be the work of Python or very closely associated with him. Of particular interest is "
1752,Naples,22379,"Ht. 5,", , ,"an Eros standing between a draped woman seated on a white tendril and a young Pan-satyr bending forward over his raised right foot which rests upon a similar tendril. The seated woman, for details of drapery, physical features and pose, should be compared with the women on nos. 256, 289, 353 and 357, also on the reverse of 245 (for the beaded girdle); the Pan-satyr bending forward is a common type with Python, here the pose and drapery closely corresponds to that of Dionysos on the reverse of no. 306. The head below the handle on the left is very like that on the signed neck-amphora (no. 240), with a similar beaded bandeau; the other head is nearer to those on the necks of the amphorae in division (ii). There is also a "
1753,Paestum,24991,Ht. 4-, , ,
1754,Paestum,26608,"Ht. 7,", , ,"common. The second hydria (no. 368) is unusual in that it depicts two nude women at a laver, a subject more commonly used for lebetes gamikoi, which perhaps explains why the scene is framed between reserved bands, not generally used on vases of this shape but common on the others. The vase suffered a very bad fissure in the firing, which completely split the body beside the right handle; the heads are in the typical Python manner. The black-draped woman on no. 370 finds a close parallel in the "
1755,Paestum,11416 (L. 564). ,Ht. 3-, , ,
1756,Paestum,6505,"Ht. 6,", , ,"The kylix once in Ascona is perhaps by a close associate rather than the painter himself; indeed the Triton in the exergue recalls the similar figures by Asteas, but the standing draped woman is very much in Python's manner, like the papposilen. The four stemless cups are surely Python's own work, and very good examples of it, with his favourite bearded silens and young satyr with a wine-skin and pointed amphora, "
1757,New York Market,21172,"Ht. 4,", , ,"pattern-work in the exergue—an inverted palmette-fan between two rosettes, all in added white and all have a border round the tondo of ivy and berries in white with incised stems, and a similar pattern on the exterior. Hydriai "
1758,Paestum,inv. 81966. , ,Diam. 13. , ,"Sestieri, ArchCl. 12, 1960, pis. 48,1 and 49,1-2. Seated draped woman with mirror in r. hand, two eggs and fillet in 1., facing standing Eros with egg in r. and mirror in 1., nude Pan-satyr, with drapery round lower part of body, bending forward with 'skewer of fruit' in r. hand. Below the handles: female heads. "
1759,Paestum,2121 (inv. 81982). ,Ht. 20, , ,"Two nude women at a laver, 1. with 'skewer of fruit' and wreath in 1. hand, mirror in r., r. with three fruits and a mirror. The picture is framed by reserved bands. Below the handles: female heads. "
1760,Paestum,963 (inv. 82272),Ht. 20, , ,"PP, no. 79, fig. 27; PPSupp, no. 111. Young satyr, with drapery over 1. arm, thyrsus in r. hand, bead-wreath in 1., draped woman with r. foot raised on tendril, holding egg in r. hand, mirror in 1. Squat lekythos "
1761,Paestum,11415 (L. 559). , , , ,"Stahler, Sammlung D.J., p. 76, pi. 57. Woman wearing black chiton, patterned with white dot-clusters, resting 1. arm on pillar and holding wreath in r. hand and 'skewer of fruit' and fillet in 1. Oenochoai (shape 3) "
1762,Paestum,(Kaliningrad),Ht. 20, , ,"PP, no. 161, pi. 21 a; PPSupp, no. 205. Half-draped Dionysos seated to r. on klismos, holding thyrsus in r. hand, phiale and wreath in 1., between draped woman, with egg and fillet, and papposilen with wreath in r. hand, resting 1. on knee of Dionysos. "
1763,Once Freiburg Market,32342,Ht. 23, , ,"PP, no. 163, pi. 25 b; PPSupp, no. 206; van Hoorn, Choes, no. 389. Dionysos, with 'skewer of fruit' in r. hand and thyrsus in 1., capering between two stelai. Kylix "
1764,Chur,26145,Ht. 17, , ,"Schauenburg, Jdl 101, 1986, p. 162, fig. 3.  PLATE 1174 Int.: Papposilen in front of seated half-draped Dionysos, behind whom stands a draped woman. Exergue. Triton. Stemless Cups "
1765,Once Amsterdam Market,1745,Ht. 15, , ,"PP. no. 155, pp. 20 c; PPSupp, no. 198. Int.: Bearded silen, with thyrsus in r. hand, wreath in 1., seated to r. on pointed amphora, round which a red fillet with white dots is tied; small stele to 1. "
1766,Baden, private coll. (2) 4,Ht. 18, , ,"PPSupp, no. 199; Patroni, VP, figs. 56-7. Int.: Bearded silen seated to 1. on pointed amphora, with 'skewer of fruit' and fillet in r. hand, thyrsus in 1. "
1767,Naples,39106,Ht. 16, , ,"PP, no. 156, fig. 42; PPSupp, no. 200. Int.: Satyr moving to 1. towards stele, with wine-skin over r. shoulder, and pointed "
1768,Naples,838 (inv. 82591). ,Ht. 20, , ,
1769,Paestum,6026,Ht. 19, , ,"PP, no. 157, fig. 43; PPSupp, no. 201. Int.: Dionysos, with thyrsus in r. hand and drapery over 1. arm, moving to r., and looking back 1. Calyx-krater "
1770,Once London Market, G. Puhze. ,Ht. 20, , ,"(a) Dionysos, with drapery over 1. arm, moving to r. and looking back to 1., [b) seated draped woman with dish and tambourine. Chapter VIII. OTHER PAINTERS IN THE ASTEAS-PYTHON WORKSHOP "
1771,Geneva,21443,Ht. 18, , ,"during the third quarter of the fourth century B.C. and that the many stereotyped figures they produced for the decoration of their standard vases were sedulously imitated by what Beazley has called their 'well-drilled associates'. As a result, however, of the recently-discovered material, a few new personalities are beginning to emerge—painters who, while following the canons laid down by the two masters, had none the less certain clearly-defined stylistic characteristics of their own, which "
1772,Once London Market,25014,Ht. 19, , ,"nos. 261-3 and of nos. 343-6 in Chapter VII, or of many of the vases listed in Chapter IX. "
1773,Naples,862 (inv. 82872). ,Ht. 18, , ,"whom some forty vases can now be associated, of which only about a quarter were known when PPSupp and PAdd were published, where they were mostly assigned in general terms to the workshop. Other significant personalities have also begun to emerge, but as yet comparatively few vases can be specifically assigned to their various hands. "
1774,Naples,21444,Ht. 19, , ,"later members of the Asteas-Python workshop, whose vases mark the transition to the final stages of Paestan vase-painting, are dealt with separately in Chapter X. "
1775,Naples,32892,Ht. 19, , ,
1776,Naples,124290,Ht. 17, ,PLATE237 c ,
1777,Naples,1746,Ht. 18, , ,Contrada Andriuolo1 was remarkable in that it contained a set of five vases (inv. 
1778,Louvre,21148,Ht. 24, , ,"minor vases of the Asteas-Python workshop, and T. 41 contained the neck-amphora (21476) ascribed to Python (no. 352 above), to whom also was attributed the hydria "
1779,Louvre, from C. Spina,Ht. 22, , ,
1780,Once Basel Market,21268,Ht. 21, , ,
1781,Naples, Royal,Ht. 19, , ,found along with a lekanis lid of the Black and Red Group associated with Asteas 
1782,Paestum,5393,Ht. 16, , ,"context of works by Asteas and Python, including the former's signed hydria (no. 134 above). These finds provide conclusive evidence for the close association of the "
1783,Paestum,5394,Ht. 23, , ,"influence is manifest everywhere in his work, especially in his compositions, rendering of drapery and the posing of the figures. "
1784,Madrid,22938,Ht. 23, , ,
1785,Once Swiss,32363,Ht. 23, , ,Tomb 41 is published in Fig. 20 on p. 43. 
1786,Vienna,21142,Ht. 22, , ,"and Greco in Dial, di Arch. 8/2, 1974—5, pp. 231-274, where these two vases are illustrated in Figs. 11, "
1787,Vienna, G. Puhze. ,Ht. 20, , ,
1788,Naples,44. ,Ht. 21, , ,
1789,Naples, J. Schulman,Ht. 23, , ,formerly in a German private collection and now in the Martin von Wagner 
1790,Naples,(Aargau),Ht. 13, , ,"and  style, since it well illustrates many  of its painter's most  noteworthy characteristics. (i) More elaborate vases Neck-amphora (with twisted handles) "
1791,Naples, private coll. (2) 4, , , ,"K. Schauenburg in Kat.Hbg., no. 328, ill. on p. 379; Erika Simon, in Werke der Antike (1983), p. 148, no. 67, ill. on p. 149.; LIMC III p. 712, Elektra I 21, pi. 540, 2. (a) Makaria with the Herakleidai, two female busts above, [b) Al -I- A3c. Neck: [a) and [b) female head. The scene on the obverse shows a draped woman, with short hair, holding a bead-wreath and a mirror, seated upon an altar-like structure in front of an Ionic column, both in added white. She turns her head to left to look at a youth who wears a chlamys, with a petasos down his back, and holds a spear and a spray. There is a sheathed sword beneath his left arm; he stands upon ground indicated by rows of white dots. Balancing him to right is a second youth, also with spear and spray. Above, in typical Paestan fashion, are the busts of two women; they are set, as it were, in square panels, two sides of which are formed by the reserved framing band and the egg-pattern above the picture, the other two by wavy lines in added white "
1792,Sydney, private coll. (1) 281. ,Ht. 16, , ,"The subject was originally thought by Schauenburg to represent the meeting between Orestes, Pylades and Electra at the tomb of Agamemnon, and the two busts above were taken to be those of two of the Furies (cf. with nos. 1, 144, 164, 244 "
1793,Basel Market,21171,Ht. 18, , ,"pointed out, the figure seated on the altar was not holding a hydria (as Electra usually does in this context), and the two youths were both carrying 'suppliant boughs', which would be out of place for Orestes and Pylades; further, neither of the two busts had snakes in their hair or about their persons, and this would count against their identification as Furies. She thought the scene more probably depicted suppliants and suggested, as an alternative, that it represented the children of Herakles—Makaria seated upon the altar, with one of her brothers on either side. She thought the two busts might represent two of Makaria's sisters, but, as we have seen, such busts in Paestan often seem to have no specific identity, but rather merely to represent spectators. The reverse represents two youths, draped in himatia with dot-stripe borders; on the rather tall neck, on each side, set into a framed oblong panel, are the head and shoulders of a woman in profile to left. The pictures on both sides are framed by reserved bands, but it is to be noted that these do not reach to the bottom, but are cut off by the scrolls on either side of the superposed palmette-fans below the "
1794,Madrid, Thomas Howard,Ht. 22, , ,The amphora well illustrates a number of what prove to be highly characteristic 
1795,Paestum, Dr. J. Chamay. ,Ht. 12, , ,"Asteas and Python, which it so closely resembles in most respects. In his rendering of drapery we should note: (i) the curious way in which the dot-stripe border tends to break up down the side into a series of short parallel steps—this is very clear on the cloaks of the two "
1796,Paestum, Charles Ede Ltd. ,Ht. 8-, , ,
1797,Wurzburg,904 (inv. 82783). ,Ht. 10, , ,"Python (no. 241), but it is not otherwise found on his extant vases. (ii) the dot-stripe border, both on the himatia of draped youths and on pieces of drapery covering the lower portions of seated figures, tends to assume a double curve "
1798,Paestum,915 (inv. 82619). ,Ht. 13, , ,fig. 6*). (a)  [b) 
1799,Madrid,3441 (inv. 82643). ,Ht. 13, , ,"(iii) on the drapery of women, the area immediately around the breasts is often "
1800,Paestum, private coll. (2) 4,Ht. 8-, , ,"girdle round the waist, as on Makaria. (iv) there is frequently a dot-stripe border round the top of the peplos at the neck, giving somewhat the effect of a collar, as on the two busts on the obverse, clearly modelled on the treatment of such busts by Asteas and Python. We may also note on this vase the black stripe running down the centre of the sleeve, with white beads on the two busts on the body of the vase but not on the neck, and the presence on the former of a dot-rosette pattern (cf. also the bust on the neck of no. 381). (v) peploi and himatia are often decorated with one or more rows of horizontal dots across them, as on the himatia of the two draped youths, or the piece of drapery "
1801,Paestum,1946 (inv. 81903). ,Ht. 13, , ,"In the treatment of the figures we may note that: (vi) the heads are comparatively small, generally of neat appearance with a reserved line round the hair which, on male figures and especially Dionysos, is often long and falls down on to the shoulders in a series of curly locks. The headdresses vary—we may have a plain circlet (as on the reverse) or a bead-wreath (Makaria), a leafy wreath (the two Herakleidai), a stephane (bust to right) or, and this type is very characteristic, a diadem with short rays on either side of a central band. (vii) the painter is fond of representing the hair of women with a large bunch sticking up at the back and tied round by a white ribbon, sometimes with dot-clusters at the ends; otherwise a sphendone or kekryphalos is used, generally decorated with black and white dots, with a bunch of solid black hair at the back. Makaria's hair is cut short, as a suppliant, but the touch of pink on her cheek is very much after the manner of Python. In shape the amphora is close to those already attributed to Asteas and Python; the neck is slightly taller than usual and the handles are ribbed, as on Python's signed amphora. Two other neck-amphorae are obviously the work of the same hand, and go very closely with no. 379: "
1802,Paestum,642 (ED 683). ,Ht. 12, , ,"Bottini and Greco, Dial, di Arch. 8/2, 1974-5, p. 257, no. 15, figs. 19-20. (a) Nude youth and standing draped woman, [b) Al + A3c. Neck: (a) and [b) female head in profile to 1. "
1803,Paestum,2956. ,Ht. 12, , ,
1804,Paestum, MuM. ,Ht. 11, , ,"(a) Standing draped woman and nude youth bending forward over r. foot, raised on a dotted rock, [b) Dionysos with thyrsus and cista, striding to r. Neck: (a) and [b) female bust in profile to 1. The youths on the reverse of no. 380 are very like those on no. 379, especially in the treatment of the lower border of their himatia. On the piece of drapery over the left arm of the nude youth on the obverse we note the characteristically 'stepped' border; the treatment of the woman's breasts and the drapery around them corresponds with that on Makaria. Here we may note her pose, with one leg bent at the knee and crossed behind the other leg beneath the drapery, the vertical fold-lines on which are unaffected. The heads on the neck are also very similar, though somewhat less of the shoulders is visible. Both pictures are framed between vertical "
1805,Madrid,2069 (inv. 82653). ,Ht. 13, , ,"palmette-fans below the handles, exactly as on the preceding vase; the top left-hand corner of the obverse has a cross-bar which converts it into a triangle, as on so many of the Asteas-Python vases. The draped woman with one leg drawn back is repeated on no. 381, facing in the other direction. The treatment of her drapery is almost identical; on no. 381 she has long hair, which reaches down to the shoulders. The busts on the neck are like those on no. 379, and one has dotted rosettes on the upper portion of the chiton, as on the two busts at the top of the picture on that vase. No. 381 has a single figure on the reverse, a striding Dionysos with ivy-wreath (now partially lost) and shoulder-length hair; we may note his rather prominent chin. 177 OTHER PAINTERS IN THE ASTEAS-PYTHON WORKSHOP Also close in style to these three vases is: Lebes gamikos "
1806,Madrid,5244,Ht. 12, , ,"PLATE 120 a Body: (a) Woman seated on klismos, holding phiale and wreath, between, to 1., standing draped woman with fillet and phiale, and to r., half-draped youth with egg and stick; above— two small white Erotes, one flying towards the standing woman to 1., the other to the seated woman; between them, a white bird, [b) standing draped woman, with 'skewer of fruit' and fillet, facing half-draped youth with fillet and wreath; between them, a palmette. Lid: (i) (a) panther, [b) bird; (ii)—bowl: (a) nude youth, [b) seated half-draped woman with phiale; (iii)—knob: moulded into the shape of a bird. The shoulder on the obverse is decorated with white plastic heads, set in a shrine-like structure, and on the reverse with a three-tiered conical projection. The treatment of the drapery, especially of its dot-stripe borders and around the women's breasts, the bunched hair, tied with ribbons, of the two women on the obverse, the standing figures with the leg drawn back, and other details all show the vase to belong here. The elaborate lid is very typical of the larger Paestan lebetes gamikoi and the knob on top, moulded in the form of a bird, finds a close parallel on no. 185. (ii) 'Standard' vases These vases lead on to a large group of what may be termed the painter's standard works: Bell-kraters "
1807,Paestum,48457,Ht. 10, , ,"Atti IX"" CStMG,  pi. 31,2. (a) White-haired silen, holding reed of flute in each hand, Dionysos and fillet and thyrsus, [b) A3c + A2r, with wreath; both with sticks. "
1808,Paestum,11070 (L. 542). ,Ht. 15, , ,"[a) Draped woman with mirror, satyr with Pan-horns, holding egg and fillet, [b) seated half-draped woman with mirror. "
1809,Paestum,Market. ,Ht. 13, , ,"PP, no. 66, pi. lA-d; PPSupp, no. 100; Schauenburg, RM  79, 1972, pi. 14. (a) Draped woman bending forward with phiale and wreath in 1. hand, fillet in r., Dionysos with thyrsus; small stele between them, and above, a female bust, [b) Air, with strigil, +Br, with strigil; both with sticks. "
1810,Madrid,1147. ,Ht. 8., , ,"Prisco, A.I.O.N. 7, 1985, p. 138, no. 1, fig. 42. (a) Standing Dionysos, with piece of drapery over r. shoulder and 1. arm, seated silen beside a pointed amphora, [b) Al + Br. The vase is close in style to nos. 384—5; cf. also with nos. 413^4 for the youths on the reverse. "
1811,Paestum,251. , , , ,
1812,Paestum, private coll. (2) 4,Ht. 8-, , ,"(a) Seated half-draped Dionysos, standing woman with fillet and 'skewer of fruit', [b) Al + Br, with fillet. "
1813,Paestum, private coll. (2) 4,Ht. 15, , ,"Gaudo excavations of 1972, and this is confirmed by the illustration in Atti XIII° CStMG  1973, pi. 61,2. "
1814,Naples, private coll. (2) 4,Ht. 15, , ,
1815,Pontecagnano, private coll. (2) 4,Ht. 14, , ,
1816,London Market,94. ,Ht. 4-, , ,
1817,Madrid, Palladion.  ,Ht. 20, ,PLATE237a,Hydriai 
1818,Madrid,11056 (L. 540). ,Ht. 12, , ,"Standing draped woman with bead-wreath and 'skewer of fruit', seated half-draped woman with mirror and 'skewer of fruit', by stele. "
1819,Madrid,6115,Ht. 12, , ,"Cat. 24 Nov. 1986, no. 75 (ill.). Ht. 43.8. Draped woman, holding fillet and phiale, between a satyr, leaning forward to r., over raised 1. foot, and holding a bead-wreath and a flower, and a nude youth holding a piece of drapery behind his legs with both hands. Below the handles: female heads. For the draped woman cf. no. 384 or 387. The treatment of the dot-stripe borders of the drapery is very typical of this painter. "
1820,Madrid,21144,Ht. 17, ,PLATE237* ,"Nude youth bending forward, standing draped woman holding fillet in both hands. Neck-amphora "
1821,Madrid,812. ,Ht. 16, , ,
1822,Madrid,1743,Ht. 16, , ,"XI, 1985-6, no. 21 (ill.). (a) Seated half-draped woman with wreath and phiale, [b) Dionysos bending forward with 'skewer of fruit' and thyrsus. Neck: (a) and [b) female head to 1. Pelike "
1823,Madrid,11452 (L. 546). ,Ht. 17, , ,
1824,Madrid,6107,Ht. 13, , ,"(a) Seated half-draped woman on dotted rock, with 'skewer of fruit' and fillet in r. hand and mirror in 1., [b) nude youth with thyrsus and 'skewer of fruit'. Cups "
1825,Detroit,1742,Ht. 14, , ,"I. Young satyr bending forward over stele, draped woman with bead-wreath and fillet. Exergue: white rosette, with a tendril on either side. Ext.: laurel. "
1826,Once New York Market,21265,Ht. 8-, , ,"I. Seated half-draped woman with mirror and 'skewer of fruit', young satyr bending forward with mirror and fillet. Exergue: white rosette. Ext.: laurel. "
1827,Paestum,21267,Ht. 8-, , ,"43, fig. 20. "
1828,Madrid,26615,Ht. 8., ,PLATE237/ ,"I. Standing draped woman, seated nude youth by folded drapery. Exergue: inverted white fan-palmette, with rosette on either side. "
1829,Skyphos,11527 (L. 552). ,Ht. 8., , ,"I. Hermes, wearing petasos, and holding phiale and caduceus, bending forward in front of seated woman wearing a black chiton, and holding a wreath and fillet in her 1. hand. Exergue: inverted palmette-fan in added white, with rosette on either side. Ext.: berried laurel. The seated woman has two small horns on her brow, and may therefore be intended to represent Io, though they are more like those of a goat than a cow. Squat lekythos "
1830,Hydria,11545 (L. 549). ,Ht. 8-, , ,"Standing draped woman with fillet and mirror, nude youth with fillet and stick, drapery over both arms and behind his back. OTHER PAINTERS IN THE ASTEAS-PYTHON WORKSHOP  179 Lebetes gamikoi "
1831,Hydria,5431,Ht. 18, , ,"(a) Standing draped woman, holding fillet and mirror, [b) seated half-draped woman. In PP (no. 189) and PPSupp (no. 252) this vase is erroneously numbered as 11447 "
1832,Lekanis lid,23183,Ht. 8-, , ,
1833,Lekanis,5389,Ht. 7-, , ,"(a) Draped woman (enveloped in cloak) standing to r., with 'skewer of fruit' and fillet in outstretched r. hand, [b) young Pan-satyr bending forward to 1., with 'skewer of fruit' and thyrsus + wreath. "
1834,BASEL,11486. ,Ht. 17, , ,
1835,Lekanis,6108,Ht. 23, , ,"(a) Youth bending forward over raised foot, standing draped woman holding red fillet, [b) half-draped woman seated by laver, resting 1. arm on its rim and holding up mirror in her hand. Phiale "
1836,Hydria, from C. Andriuolo (1954), , ,PLATE 238 A ,"Bearded silen kneeling, seated half-draped woman with mirror; swan. In the tondo: a white star. Few of the above vases have any special interest of subject-matter, nearly all of "
1837,BERN,1744,Ht. 15, , ,"Python workshop. It is possible that the cup, no. 394, represents Hermes and Io, but it is not easy to be certain of the identity of the seated woman, who wears a black peplos with touches of red and white as on the vases in the Black and Red Group by Asteas and who has a small pair of horns on her brow. The presence of Hermes in this context suggests that she might be more than an ordinary mortal (cf. also no. "
1838,Bottle, private coll. (2) 4,Ht. 19, ,PLATE238c ,
1839,BLOOMINGTON,36047,Ht. 23, ,PLATE238a,
1840,Museum, Charles Ede (4721). ,Ht. 23, , ,"painter's name vase, since it has a very similar bust, framed by white wavy lines, above the pictures. In composition, drawing, decorative patterns and adjuncts, as well as in the "
1841,Lebes gamikos,11398 (L. 561). ,Ht. 22, , ,"painter's favourite step-pattern on the dot-stripes on nos. 383-7, 395 and 397, with rows of dots on the drapery on nos. 383, 385, 397; the youths on the reverses of nos. 383, 385-6 all follow his conventional types; the hair of the women on nos. 384—5, 387 is,done in just the same fashion as on nos. 379 or 382. We may note also the drawing of the exposed breasts of the half-draped women on nos. 384, 387, 389, 390, 392, 396-7, with one rounded and the other pointed, the nipples shown as black dots. The woman wearing a peplos, with a long overfall, usually with a double dot-stripe down the centre, appears on no. 384 and is repeated on nos. 386-8, 391 and 395; sometimes one of her legs is bent outwards to the left (nos. 336-7, 391), at others to the right (nos. 384, 388). We may note the repetition of the dot-piles, on which figures sit or rest one foot, on nos. 389-90 and 392, as well as of such decorative adjuncts as sprays of ivy, white rosettes, tambourines, pendant strings of white beads. The rather curious filling ornament, in the form of a triangle decorated with a black T with a black and white dot to left and right of the vertical stroke (PI. 121 b) is repeated on nos. 400 and 402 below, which are also closely connected in style with "
1842,BOLOGNA,11407. ,Ht. 12, , ,Hydria 
1843,Oenochoe,11409. ,Ht. 12, , ,"PP, no. 76, fig. 38; PPSupp, no. 108. Nude youth with drapery over both arms, holding fillet in r. hand and phiale and wreath in 1., seated half-draped woman with wreath in r. hand and mirror in 1.; to r., small stele. Below the handles: female heads. The heads are close to those on the necks of nos. 380-1 and also to those on the hydria no. 408 below. Skyphoi "
1844,,11417 (L. 560). ,Ht. 15, , ,"PP, no. 85; PPSupp, no. 114. (a) Nude woman, with fillet and mirror, standing to r., in front of a laver above which is a lion-spout; suspended above to r., piece of drapery, [b) seated half-draped woman with mirror and bead-wreath; part of altar to r. "
1845,Anton Ulrich Museum,11420. ,Ht. 27, , ,"condition; almost the whole of the reverse and a good deal of the upper part of the obverse is missing. Bottini and Greco, Dial, di Arch. 8/2, 1974-5, p. 245, no. 2, fig. 11. (a) Draped woman, wearing cloak over black chiton, standing to 1. by laver, [b) missing, except for the feet of two figures. "
1846,,11423 (L. 563). ,Ht. 20, , ,
